País,Localização,Página 1,Página 2,Página 3,Página 4,Página 5
Alemanha,inferior à direita,50,29,7,9,0
Austrália,inferior à direita,2,0,0,0,0
Áustria,inferior à direita,2,3,0,0,0
Bélgica,inferior à direita,15,15,6,3,0
Croácia,inferior à direita,0,0,1,0,0
Dinamarca,inferior à direita,10,6,5,3,0
Eslováquia,inferior à direita,32,37,11,2,0
Espanha,inferior à direita,2,1,0,0,0
USA,inferior à direita,14,11,1,0,0
Estônia,inferior à direita,11,9,2,0,0
Finlândia,inferior à direita,5,0,0,0,0
França,inferior à direita,9,2,1,1,0
Grécia,inferior à direita,3,0,0,0,0
Holanda,inferior à direita,16,8,4,3,0
Hungria,inferior à direita,2,0,0,0,0
Irlanda,inferior à direita,60,30,12,11,0
Islândia,inferior à direita,0,0,2,0,0
Itália,inferior à direita,15,7,0,0,0
Lituânia,inferior à direita,299,132,55,30,0
Luxemburgo,inferior à direita,4,3,0,1,0
México,inferior à direita,1,0,0,0,0
Noruega,inferior à direita,12,3,2,0,0
Polônia,inferior à direita,10226,4045,1512,1090,0
Portugal,inferior à direita,1,0,0,0,0
Reino Unido,inferior à direita,41,19,6,5,0
República Tcheca,inferior à direita,1406,688,212,2,0
Romênia,inferior à direita,13,3,0,1,0
Rússia,inferior à direita,2,2,0,0,0
San Marino,inferior à direita,1,0,0,0,0
Suécia,inferior à direita,8,6,0,7,0
Suíça,inferior à direita,6,7,3,0,0
Ucrânia,inferior à direita,2,1,0,0,0
Alemanha,inferior à esquerda,97,37,11,4,1
Austrália,inferior à esquerda,0,1,0,0,0
Áustria,inferior à esquerda,11,2,2,0,0
Bélgica,inferior à esquerda,20,12,11,1,2
Croácia,inferior à esquerda,0,2,0,0,0
Dinamarca,inferior à esquerda,13,2,3,0,0
Eslováquia,inferior à esquerda,77,39,8,0,0
Espanha,inferior à esquerda,5,0,0,0,0
USA,inferior à esquerda,10,0,1,1,2
Estônia,inferior à esquerda,5,10,2,0,0
Finlândia,inferior à esquerda,4,6,0,0,0
França,inferior à esquerda,13,8,2,0,0
Grécia,inferior à esquerda,2,0,0,0,0
Holanda,inferior à esquerda,15,10,12,0,0
Hungria,inferior à esquerda,4,1,0,0,0
Ilha Christmas,inferior à esquerda,0,1,0,0,0
Ilhas Cayman,inferior à esquerda,1,0,0,0,0
Irlanda,inferior à esquerda,66,20,14,8,9
Islândia,inferior à esquerda,2,1,3,0,0
Itália,inferior à esquerda,10,6,0,0,0
